train start... 
episode: 253, step: 1, reward: 3.0, done: True
episode: 254, step: 163, reward: 401.575, done: True
episode: 255, step: 130, reward: 342.5, done: True
episode: 256, step: 200, reward: 579.1, done: True
episode: 257, step: 165, reward: 470.3, done: True
episode: 258, step: 112, reward: 193.5, done: True
episode: 259, step: 138, reward: 393.1, done: True
episode: 260, step: 110, reward: 305.3, done: True
episode: 261, step: 198, reward: 573.1, done: True
episode: 262, step: 179, reward: 512.3, done: True
episode: 263, step: 128, reward: 368.8, done: True
episode: 264, step: 125, reward: 357.9, done: True
episode: 265, step: 110, reward: 303.4, done: True
episode: 266, step: 153, reward: 434.3, done: True
episode: 267, step: 147, reward: 410.6, done: True
episode: 268, step: 151, reward: 382.7, done: True
episode: 269, step: 153, reward: 430.5, done: True
episode: 270, step: 169, reward: 429.1, done: True
episode: 271, step: 133, reward: 376.2, done: True
episode: 272, step: 156, reward: 310.3, done: True
episode: 273, step: 105, reward: 278.9, done: True
episode: 274, step: 3, reward: 9.025, done: True
episode: 275, step: 1, reward: 3.0, done: True
episode: 276, step: 152, reward: 389.475, done: True
episode: 277, step: 80, reward: 203.9, done: True
episode: 278, step: 157, reward: 421.6, done: True
episode: 279, step: 141, reward: 356.5, done: True
episode: 280, step: 206, reward: 483.1, done: True
episode: 281, step: 142, reward: 401.3, done: True
episode: 282, step: 125, reward: 338.9, done: True
episode: 283, step: 157, reward: 434.9, done: True
episode: 284, step: 107, reward: 307.7, done: True
episode: 285, step: 116, reward: 291.0, done: True
episode: 286, step: 138, reward: 377.9, done: True
episode: 287, step: 110, reward: 299.6, done: True
episode: 288, step: 155, reward: 409.9, done: True
episode: 289, step: 154, reward: 406.9, done: True
episode: 290, step: 156, reward: 445.2, done: True
episode: 291, step: 162, reward: 432.8, done: True
episode: 292, step: 147, reward: 410.6, done: True
episode: 293, step: 154, reward: 422.1, done: True
episode: 294, step: 150, reward: 423.4, done: True
episode: 295, step: 200, reward: 539.2, done: True
episode: 296, step: 2, reward: 6.025, done: True
episode: 297, step: 1, reward: 3.0, done: True
episode: 298, step: 142, reward: 363.275, done: True
episode: 299, step: 159, reward: 450.4, done: True
episode: 300, step: 140, reward: 395.3, done: True
episode: 301, step: 158, reward: 409.4, done: True
episode: 302, step: 341, reward: 964.1, done: True
episode: 303, step: 150, reward: 402.5, done: True
episode: 304, step: 163, reward: 468.1, done: True
episode: 305, step: 154, reward: 412.6, done: True
episode: 306, step: 144, reward: 401.6, done: True
episode: 307, step: 476, reward: 1257.0, done: True
episode: 308, step: 135, reward: 380.3, done: True
episode: 309, step: 128, reward: 361.2, done: True
episode: 310, step: 291, reward: 812.2, done: True
episode: 311, step: 143, reward: 387.2, done: True
episode: 312, step: 163, reward: 464.3, done: True
episode: 313, step: 144, reward: 401.6, done: True
episode: 314, step: 2, reward: 6.025, done: True
episode: 315, step: 1, reward: 3.0, done: True
episode: 316, step: 152, reward: 416.075, done: True
episode: 317, step: 141, reward: 402.1, done: True
episode: 318, step: 159, reward: 465.6, done: True
episode: 319, step: 138, reward: 389.3, done: True
episode: 320, step: 170, reward: 479.6, done: True
episode: 321, step: 104, reward: 281.6, done: True
episode: 322, step: 100, reward: 282.9, done: True
episode: 323, step: 143, reward: 404.3, done: True
episode: 324, step: 132, reward: 365.6, done: True
episode: 325, step: 98, reward: 269.3, done: True
episode: 326, step: 149, reward: 422.3, done: True
episode: 327, step: 165, reward: 468.4, done: True
episode: 328, step: 139, reward: 390.4, done: True
episode: 329, step: 152, reward: 410.4, done: True
episode: 330, step: 141, reward: 396.4, done: True
episode: 331, step: 125, reward: 350.3, done: True
episode: 332, step: 238, reward: 505.0, done: True
episode: 333, step: 134, reward: 358.3, done: True
episode: 334, step: 113, reward: 312.4, done: True
episode: 335, step: 3, reward: 9.025, done: True
episode: 336, step: 1, reward: 3.0, done: True
episode: 337, step: 150, reward: 427.175, done: True
episode: 338, step: 138, reward: 366.5, done: True
